state,action,q_value
0,0,0.0
0,1,0.0
0,2,0.0
3,0,0.0
3,1,0.0
3,2,0.0
12,0,0.0
12,1,0.0
12,2,0.0
15,0,0.0
15,1,0.0
15,2,2e-05
18,0,2e-05
18,1,2e-05
18,2,0.00026
6,0,0.0
6,1,0.0
6,2,0.0
24,0,0.0
24,1,0.0
24,2,0.0
27,0,6e-05
27,1,6e-05
27,2,0.00064
21,0,0.00021
21,1,0.00021
21,2,0.00257
36,0,1e-05
36,1,0.0
36,2,6e-05
39,0,0.00117
39,1,0.00118
39,2,0.01396
42,0,0.02932
42,1,0.02714
42,2,0.33974
9,0,0.0
9,1,0.0
9,2,1e-05
30,0,0.00091
30,1,0.00096
30,2,0.01057
33,0,0.01102
33,1,0.01069
33,2,0.14589
45,0,0.0
45,1,0.0
45,2,0.0
