state,action,q_value
0,0,0.03654
0,1,0.03648
0,2,0.04115
12,0,0.06249
12,1,0.06216
12,2,0.06984
24,0,0.08132
24,1,0.08095
24,2,0.08576
15,0,0.09532
15,1,0.09503
15,2,0.116
3,0,0.03292
3,1,0.03318
3,2,0.03632
36,0,0.08958
36,1,0.08918
36,2,0.09658
27,0,0.19832
27,1,0.1984
27,2,0.22892
39,0,0.35652
39,1,0.35248
39,2,0.39462
30,0,0.25806
30,1,0.25812
30,2,0.28467
18,0,0.12065
18,1,0.12069
18,2,0.14181
6,0,0.03726
6,1,0.03709
6,2,0.03978
9,0,0.04051
9,1,0.04056
9,2,0.04445
21,0,0.15237
21,1,0.15194
21,2,0.17973
42,0,0.47845
42,1,0.47884
42,2,0.52788
33,0,0.2922
33,1,0.29202
33,2,0.30866
45,0,0.0
45,1,0.0
45,2,0.0
