state,action,q_value
0,0,0.0374
0,1,0.03718
0,2,0.04236
12,0,0.06499
12,1,0.06519
12,2,0.07564
24,0,0.08634
24,1,0.08661
24,2,0.09733
3,0,0.03391
3,1,0.03427
3,2,0.03824
15,0,0.1013
15,1,0.10162
15,2,0.11153
36,0,0.10044
36,1,0.09974
36,2,0.11225
6,0,0.03785
6,1,0.03761
6,2,0.04043
9,0,0.04275
9,1,0.04273
9,2,0.04343
18,0,0.12654
18,1,0.1255
18,2,0.14586
21,0,0.15583
21,1,0.15599
21,2,0.15807
27,0,0.20685
27,1,0.20829
27,2,0.23196
30,0,0.26457
30,1,0.26515
30,2,0.2956
33,0,0.30487
33,1,0.30589
33,2,0.32042
39,0,0.37764
39,1,0.38012
39,2,0.41255
42,0,0.49895
42,1,0.49864
42,2,0.53714
45,0,0.0
45,1,0.0
45,2,0.0
