state,action,q_value
0,0,0.02813
0,1,0.0281
0,2,0.03025
3,0,0.02542
3,1,0.02533
3,2,0.02879
6,0,0.02815
6,1,0.02811
6,2,0.03036
15,0,0.08288
15,1,0.08295
15,2,0.09742
18,0,0.11149
18,1,0.11059
18,2,0.12979
12,0,0.05301
12,1,0.05232
12,2,0.05907
21,0,0.1478
21,1,0.14896
21,2,0.17426
27,0,0.18144
27,1,0.18063
27,2,0.20187
30,0,0.24278
30,1,0.24274
30,2,0.26686
33,0,0.29226
33,1,0.29509
33,2,0.32843
45,0,0.0
45,1,0.0
45,2,0.0
24,0,0.07273
24,1,0.07196
24,2,0.0857
36,0,0.0916
36,1,0.09223
36,2,0.0988
39,0,0.35322
39,1,0.34976
39,2,0.38321
9,0,0.03286
9,1,0.03287
9,2,0.03758
42,0,0.45474
42,1,0.45385
42,2,0.54217
